DriverID,TotalWorkOrders,TotalCost,MisuseIncidents,BonusEligible
1,117,57195.8,3,Yes
2,113,51944.96,5,Yes
3,114,52798.090000000004,3,Yes
4,104,44010.05,4,Yes
5,114,51604.45,6,Yes
6,103,50479.37,7,Yes
7,100,45189.63,19,No
8,114,52975.86,4,Yes
9,108,52583.07,3,Yes
10,110,50715.23,6,Yes
11,101,45774.409999999996,3,Yes
12,98,47066.92,8,Yes
13,105,47414.82,5,Yes
14,101,46100.16,7,Yes
15,105,46689.51,8,Yes
16,124,60741.96,8,Yes
17,112,48655.98,4,Yes
18,109,50112.26,2,Yes
19,113,51185.64,10,Yes
20,105,50141.48,5,Yes
21,112,0.0,5,Yes
22,108,0.0,8,Yes
23,105,0.0,5,Yes
24,101,0.0,2,Yes
25,100,0.0,5,Yes
